File,Folder,Points,Features
m-001-01.pts,m-001,"[(328.444, 275.496), (434.921, 275.029), (331.713, 401.121), (427.449, 400.187), (271.936, 270.826), (356.464, 254.014), (388.221, 255.882), (494.698, 268.491), (263.997, 274.095), (301.825, 277.831), (349.459, 277.364), (411.104, 278.298), (459.673, 277.831), (515.246, 276.897), (368.606, 340.41), (355.53, 351.151), (391.957, 350.217), (374.253, 395.527), (374.253, 416.925), (373.276, 483.314), (280.342, 404.39), (499.835, 402.522)]","{'Eye length ratio': 0.4267253292112548, 'Eye distance ratio': 0.5064768460443475, 'Nose ratio': 0.1660082668499721, 'Lip size ratio': 4.474275910905935, 'Lip length ratio': 0.4361737683401592, 'Eye-brow length ratio': 0.4267253292112548, 'Aggressive ratio': 0.9445179202545555}"
m-001-02.pts,m-001,"[(344.026, 270.09), (449.912, 272.639), (332.867, 381.687), (440.572, 390.183), (284.216, 262.555), (377.935, 246.072), (411.844, 246.543), (509.331, 260.2), (275.738, 270.09), (318.371, 270.449), (367.816, 272.639), (426.914, 274.8), (479.19, 275.271), (522.988, 274.329), (386.883, 332.256), (370.871, 344.972), (404.779, 345.443), (385.07, 389.178), (386.006, 421.015), (390.18, 491.438), (281.39, 393.009), (511.685, 397.247)]","{'Eye length ratio': 0.3980768275896297, 'Eye distance ratio': 0.5237467957999171, 'Nose ratio': 0.14722651585811855, 'Lip size ratio': 3.3920567304274307, 'Lip length ratio': 0.4690561341429794, 'Eye-brow length ratio': 0.3980768275896297, 'Aggressive ratio': 0.9548697930110615}"
m-001-03.pts,m-001,"[(329.17, 291.426), (436.553, 289.928), (331.667, 419.288), (433.057, 416.79), (273.73, 289.928), (363.133, 276.942), (393.1, 275.943), (495.489, 282.436), (263.74, 291.926), (302.199, 294.423), (354.143, 293.424), (411.081, 294.922), (466.521, 293.424), (510.973, 293.424), (373.621, 361.35), (359.137, 371.839), (393.6, 372.339), (376.119, 414.293), (378.616, 440.265), (380.614, 505.195), (279.723, 418.289), (501.982, 416.291)]","{'Eye length ratio': 0.4149639695875122, 'Eye distance ratio': 0.5093667543335932, 'Nose ratio': 0.15506789072607088, 'Lip size ratio': 3.8870807702930295, 'Lip length ratio': 0.4562994969458015, 'Eye-brow length ratio': 0.4149639695875122, 'Aggressive ratio': 0.9601877938579118}"
m-001-05.pts,m-001,"[(345.098, 260.392), (451.765, 264.157), (345.098, 384.627), (434.196, 387.137), (291.137, 259.137), (381.49, 235.294), (407.843, 236.549), (506.98, 256.627), (282.353, 262.902), (322.51, 264.157), (366.431, 262.902), (429.176, 265.412), (470.588, 266.667), (522.039, 264.157), (389.02, 318.118), (372.706, 326.902), (409.098, 326.902), (387.765, 367.059), (387.765, 393.412), (387.765, 468.706), (286.118, 383.373), (509.49, 389.647)]","{'Eye length ratio': 0.422003613789427, 'Eye distance ratio': 0.5052358743201452, 'Nose ratio': 0.16285681887718986, 'Lip size ratio': 3.382284668854915, 'Lip length ratio': 0.3988781460579056, 'Eye-brow length ratio': 0.422003613789427, 'Aggressive ratio': 0.9259228421881786}"
m-002-01.pts,m-002,"[(327.193, 263.025), (437.671, 258.127), (342.887, 379.987), (432.444, 376.537), (280.652, 244.57), (363.48, 239.725), (399.088, 237.87), (485.183, 233.669), (269.558, 263.238), (302.703, 266.29), (350.413, 262.822), (415.235, 261.415), (463.25, 259.759), (499.719, 257.029), (385.969, 318.536), (370.187, 327.788), (399.575, 327.788), (386.155, 367.268), (386.155, 394.529), (388.628, 472.462), (282.728, 382.655), (499.719, 377.464)]","{'Eye length ratio': 0.3743730910801755, 'Eye distance ratio': 0.5222216193561392, 'Nose ratio': 0.13539545110559834, 'Lip size ratio': 3.287606010645908, 'Lip length ratio': 0.4129101806881903, 'Eye-brow length ratio': 0.3743730910801755, 'Aggressive ratio': 0.981762685675051}"
m-002-02.pts,m-002,"[(367.138, 251.974), (479.587, 255.641), (363.471, 356.478), (476.531, 358.923), (320.691, 231.806), (404.417, 218.361), (444.752, 222.028), (527.867, 234.251), (311.524, 250.14), (342.692, 253.807), (394.028, 251.363), (454.53, 253.807), (508.31, 256.863), (542.235, 250.953), (419.695, 309.421), (403.806, 319.199), (435.472, 319.063), (420.918, 354.034), (420.918, 388.257), (424.584, 475.65), (309.691, 356.478), (542.534, 359.534)]","{'Eye length ratio': 0.36755128211356386, 'Eye distance ratio': 0.536569378326778, 'Nose ratio': 0.1359867593499904, 'Lip size ratio': 3.3043986298752674, 'Lip length ratio': 0.48563493652849943, 'Eye-brow length ratio': 0.36755128211356386, 'Aggressive ratio': 0.9720685318963463}"
m-002-03.pts,m-002,"[(297.638, 294.309), (407.577, 271.745), (329.804, 405.208), (414.778, 391.285), (249.63, 282.787), (323.083, 266.944), (366.77, 257.342), (451.745, 243.9), (245.79, 305.831), (273.154, 300.07), (320.682, 289.988), (382.613, 278.466), (435.902, 267.424), (473.348, 257.823), (358.129, 345.197), (346.607, 356.719), (375.412, 352.399), (366.29, 389.845), (370.131, 412.409), (383.093, 480.58), (271.714, 414.329), (485.83, 381.684)]","{'Eye length ratio': 0.36992182409207214, 'Eye distance ratio': 0.5386383860331939, 'Nose ratio': 0.1344803649488848, 'Lip size ratio': 3.7620099099094633, 'Lip length ratio': 0.39755745540173576, 'Eye-brow length ratio': 0.36992182409207214, 'Aggressive ratio': 0.925943370830875}"
m-002-05.pts,m-002,"[(342.987, 266.127), (456.0, 270.684), (353.013, 381.873), (435.949, 384.608), (296.506, 249.722), (378.532, 241.519), (418.633, 244.253), (499.747, 259.747), (281.013, 264.304), (322.025, 267.038), (363.949, 269.772), (434.127, 273.418), (473.316, 274.329), (511.595, 271.595), (396.759, 327.19), (384.0, 334.481), (414.076, 334.481), (396.759, 368.203), (396.759, 394.633), (396.759, 463.899), (285.57, 382.785), (503.392, 388.253)]","{'Eye length ratio': 0.3579606586243976, 'Eye distance ratio': 0.5281299871930304, 'Nose ratio': 0.13803255902293637, 'Lip size ratio': 3.1396550932878666, 'Lip length ratio': 0.38083825611695593, 'Eye-brow length ratio': 0.3579606586243976, 'Aggressive ratio': 0.9035732507708426}"
m-003-01.pts,m-003,"[(324.151, 259.223), (435.74, 256.488), (330.168, 381.751), (435.193, 383.392), (273.633, 242.815), (356.614, 233.625), (400.072, 232.33), (481.401, 235.65), (257.343, 265.214), (297.988, 263.399), (350.954, 261.411), (409.484, 260.317), (466.372, 259.223), (495.363, 260.864), (379.515, 320.849), (363.684, 333.813), (395.776, 332.921), (379.936, 371.223), (380.627, 401.242), (380.993, 468.179), (271.639, 385.033), (488.799, 383.939)]","{'Eye length ratio': 0.3507032940489952, 'Eye distance ratio': 0.5279523480872744, 'Nose ratio': 0.14783563655815674, 'Lip size ratio': 3.498117946335595, 'Lip length ratio': 0.4836824763058109, 'Eye-brow length ratio': 0.3507032940489952, 'Aggressive ratio': 0.9621291661449499}"
m-003-02.pts,m-003,"[(319.821, 259.14), (433.771, 255.837), (320.372, 370.338), (439.276, 368.136), (269.176, 256.938), (357.254, 235.469), (394.137, 242.625), (467.351, 217.303), (252.111, 268.498), (292.847, 265.746), (344.042, 261.342), (404.596, 259.69), (462.947, 259.69), (492.673, 247.029), (378.723, 320.244), (361.658, 332.354), (399.091, 330.152), (379.273, 368.686), (379.824, 396.761), (381.475, 472.728), (264.222, 374.742), (493.774, 362.081)]","{'Eye length ratio': 0.37536226335458794, 'Eye distance ratio': 0.4912494587187661, 'Nose ratio': 0.16310380377960396, 'Lip size ratio': 4.235137695339194, 'Lip length ratio': 0.5172854490661594, 'Eye-brow length ratio': 0.37536226335458794, 'Aggressive ratio': 0.9337710559612012}"
