File,Features
m-001-01.pts,"{'Eye length ratio': 0.19330713710291383, 'Eye distance ratio': 0.24536711252432303, 'Nose ratio': 0.1660082668499721, 'Lip size ratio': 4.474275910905935, 'Lip length ratio': 0.4361737683401592, 'Eye-brow length ratio': 0.4267253292112548, 'Aggressive ratio left': 0.9445179202545555, 'Jaw line ratio': 0.6840442073514482, 'Jaw horizontal length ratio': 0.30248702303256253, 'Nose tip to lips distance': 55.405525879644856, 'Lower lips to chin distance': 66.39618852012516, 'Nose tip to chin': 142.98028575996062}"
m-001-02.pts,"{'Eye length ratio': 0.21140724059922966, 'Eye distance ratio': 0.23914583354273972, 'Nose ratio': 0.14722651585811855, 'Lip size ratio': 3.3920567304274307, 'Lip length ratio': 0.4690561341429794, 'Eye-brow length ratio': 0.3980768275896297, 'Aggressive ratio left': 0.9548697930110615, 'Jaw line ratio': 0.6674573685064706, 'Jaw horizontal length ratio': 0.30627953963067905, 'Nose tip to lips distance': 56.95086525242617, 'Lower lips to chin distance': 70.54658889698354, 'Nose tip to chin': 159.21614030304843}"
m-001-03.pts,"{'Eye length ratio': 0.22431963545467956, 'Eye distance ratio': 0.23037643347677805, 'Nose ratio': 0.15506789072607088, 'Lip size ratio': 3.8870807702930295, 'Lip length ratio': 0.4562994969458015, 'Eye-brow length ratio': 0.4149639695875122, 'Aggressive ratio left': 0.9601877938579118, 'Jaw line ratio': 0.6768693255984095, 'Jaw horizontal length ratio': 0.292263120649328, 'Nose tip to lips distance': 53.00189857920184, 'Lower lips to chin distance': 64.9607335549715, 'Nose tip to chin': 144.01488143244083}"
m-001-05.pts,"{'Eye length ratio': 0.1833161897071608, 'Eye distance ratio': 0.261985777879414, 'Nose ratio': 0.16285681887718986, 'Lip size ratio': 3.382284668854915, 'Lip length ratio': 0.3988781460579056, 'Eye-brow length ratio': 0.422003613789427, 'Aggressive ratio left': 0.9259228421881786, 'Jaw line ratio': 0.6495378669567711, 'Jaw horizontal length ratio': 0.33694606838148883, 'Nose tip to lips distance': 48.95708841424297, 'Lower lips to chin distance': 75.29400000000004, 'Nose tip to chin': 150.59322949256386}"
m-002-01.pts,"{'Eye length ratio': 0.2086629636370855, 'Eye distance ratio': 0.28160152425451274, 'Nose ratio': 0.13539545110559834, 'Lip size ratio': 3.287606010645908, 'Lip length ratio': 0.4129101806881903, 'Eye-brow length ratio': 0.3743730910801755, 'Aggressive ratio left': 0.981762685675051, 'Jaw line ratio': 0.673432279584261, 'Jaw horizontal length ratio': 0.35923114463271866, 'Nose tip to lips distance': 48.732354960539276, 'Lower lips to chin distance': 77.97222722226164, 'Nose tip to chin': 153.94896478054017}"
m-002-02.pts,"{'Eye length ratio': 0.23348008024796058, 'Eye distance ratio': 0.26245374972939733, 'Nose ratio': 0.1359867593499904, 'Lip size ratio': 3.3043986298752674, 'Lip length ratio': 0.48563493652849943, 'Eye-brow length ratio': 0.36755128211356386, 'Aggressive ratio left': 0.9720685318963463, 'Jaw line ratio': 0.710875343522885, 'Jaw horizontal length ratio': 0.3756278907232221, 'Nose tip to lips distance': 44.62976022790174, 'Lower lips to chin distance': 87.46985769395074, 'Nose tip to chin': 166.30088022015997}"
m-002-03.pts,"{'Eye length ratio': 0.23400130308046294, 'Eye distance ratio': 0.2708625513323153, 'Nose ratio': 0.1344803649488848, 'Lip size ratio': 3.7620099099094633, 'Lip length ratio': 0.39755745540173576, 'Eye-brow length ratio': 0.36992182409207214, 'Aggressive ratio left': 0.925943370830875, 'Jaw line ratio': 0.6583948093550761, 'Jaw horizontal length ratio': 0.32038532492413163, 'Nose tip to lips distance': 45.387727691524745, 'Lower lips to chin distance': 69.39235321705122, 'Nose tip to chin': 137.66538412033722}"
m-002-05.pts,"{'Eye length ratio': 0.18211336895223734, 'Eye distance ratio': 0.30460982986290547, 'Nose ratio': 0.13803255902293637, 'Lip size ratio': 3.1396550932878666, 'Lip length ratio': 0.38083825611695593, 'Eye-brow length ratio': 0.3579606586243976, 'Aggressive ratio left': 0.9035732507708426, 'Jaw line ratio': 0.6316548302627475, 'Jaw horizontal length ratio': 0.31789344438365164, 'Nose tip to lips distance': 41.01299999999998, 'Lower lips to chin distance': 69.26600000000002, 'Nose tip to chin': 136.709}"
m-003-01.pts,"{'Eye length ratio': 0.2390094045580967, 'Eye distance ratio': 0.24590559342393767, 'Nose ratio': 0.14783563655815674, 'Lip size ratio': 3.498117946335595, 'Lip length ratio': 0.4836824763058109, 'Eye-brow length ratio': 0.3507032940489952, 'Aggressive ratio left': 0.9621291661449499, 'Jaw line ratio': 0.6325844258465559, 'Jaw horizontal length ratio': 0.3082388617172713, 'Nose tip to lips distance': 50.375759220085236, 'Lower lips to chin distance': 66.93800060503744, 'Nose tip to chin': 147.33741338845337}"
m-003-02.pts,"{'Eye length ratio': 0.24160093761545443, 'Eye distance ratio': 0.25081569316062974, 'Nose ratio': 0.16310380377960396, 'Lip size ratio': 4.235137695339194, 'Lip length ratio': 0.5172854490661594, 'Eye-brow length ratio': 0.37536226335458794, 'Aggressive ratio left': 0.9337710559612012, 'Jaw line ratio': 0.6857344165931482, 'Jaw horizontal length ratio': 0.33051171244547345, 'Nose tip to lips distance': 48.445122189958354, 'Lower lips to chin distance': 75.9849385733778, 'Nose tip to chin': 152.50883174426323}"
m-003-03.pts,"{'Eye length ratio': 0.24143928447526652, 'Eye distance ratio': 0.25141816753579893, 'Nose ratio': 0.16022945384573767, 'Lip size ratio': 4.639975367432608, 'Lip length ratio': 0.4845809096394064, 'Eye-brow length ratio': 0.3511146774282322, 'Aggressive ratio left': 0.9491084170775382, 'Jaw line ratio': 0.646275687555141, 'Jaw horizontal length ratio': 0.3019242959864879, 'Nose tip to lips distance': 49.52224963589598, 'Lower lips to chin distance': 64.65200000000004, 'Nose tip to chin': 136.48802013729997}"
m-003-05.pts,"{'Eye length ratio': 0.17683917132863317, 'Eye distance ratio': 0.30756915947870533, 'Nose ratio': 0.17241892347968588, 'Lip size ratio': 4.8612288076405115, 'Lip length ratio': 0.4331439879439061, 'Eye-brow length ratio': 0.3757430193212956, 'Aggressive ratio left': 0.9367182106292136, 'Jaw line ratio': 0.6652212045524204, 'Jaw horizontal length ratio': 0.3066274674076905, 'Nose tip to lips distance': 52.23697468269002, 'Lower lips to chin distance': 66.53199999999998, 'Nose tip to chin': 137.86519664150194}"
m-004-01.pts,"{'Eye length ratio': 0.23685168643148316, 'Eye distance ratio': 0.23179075027907511, 'Nose ratio': 0.13149032012735276, 'Lip size ratio': 6.94087955622585, 'Lip length ratio': 0.4385173647634465, 'Eye-brow length ratio': 0.36929798594874863, 'Aggressive ratio left': 0.9680759992745684, 'Jaw line ratio': 0.669885373883885, 'Jaw horizontal length ratio': 0.37380201073542063, 'Nose tip to lips distance': 66.55022377873723, 'Lower lips to chin distance': 96.58800025365467, 'Nose tip to chin': 179.44804355857434}"
m-004-02.pts,"{'Eye length ratio': 0.2482125129689522, 'Eye distance ratio': 0.20177606046712018, 'Nose ratio': 0.15785338928046774, 'Lip size ratio': 2.5819681409544306, 'Lip length ratio': 0.5292622082569076, 'Eye-brow length ratio': 0.3346379840359319, 'Aggressive ratio left': 0.8924150549439394, 'Jaw line ratio': 0.6997305655455279, 'Jaw horizontal length ratio': 0.25749578105552406, 'Nose tip to lips distance': 37.28691385727707, 'Lower lips to chin distance': 71.44967084598784, 'Nose tip to chin': 165.55324850331394}"
m-004-03.pts,"{'Eye length ratio': 0.22718962040794002, 'Eye distance ratio': 0.2233097601726911, 'Nose ratio': 0.15158325746629214, 'Lip size ratio': 3.639051229901352, 'Lip length ratio': 0.4499050302999259, 'Eye-brow length ratio': 0.3768789688919905, 'Aggressive ratio left': 0.9840094141137251, 'Jaw line ratio': 0.6410176027759543, 'Jaw horizontal length ratio': 0.28919197412218145, 'Nose tip to lips distance': 56.936723764192855, 'Lower lips to chin distance': 71.89737633599714, 'Nose tip to chin': 159.5449837663347}"
m-004-05.pts,"{'Eye length ratio': 0.2057347866205535, 'Eye distance ratio': 0.25482501385122386, 'Nose ratio': 0.1514207916171502, 'Lip size ratio': 3.873171809872836, 'Lip length ratio': 0.4429068447385522, 'Eye-brow length ratio': 0.36174918358271535, 'Aggressive ratio left': 1.0012450748355395, 'Jaw line ratio': 0.6877920598605481, 'Jaw horizontal length ratio': 0.3651929551837973, 'Nose tip to lips distance': 55.78145098507206, 'Lower lips to chin distance': 90.22800000000001, 'Nose tip to chin': 174.13563686103998}"
m-005-01.pts,"{'Eye length ratio': 0.24551697099567052, 'Eye distance ratio': 0.27114098060374264, 'Nose ratio': 0.12127243575880982, 'Lip size ratio': 10.42825713517774, 'Lip length ratio': 0.4368407157458293, 'Eye-brow length ratio': 0.3365399309503237, 'Aggressive ratio left': 0.905932582934668, 'Jaw line ratio': 0.6404259241159069, 'Jaw horizontal length ratio': 0.387689087017145, 'Nose tip to lips distance': 60.34318616049371, 'Lower lips to chin distance': 100.55993222949185, 'Nose tip to chin': 171.41314954518512}"
m-005-02.pts,"{'Eye length ratio': 0.2262687751945442, 'Eye distance ratio': 0.24569965974113261, 'Nose ratio': 0.13936917021487424, 'Lip size ratio': 2.8606673011822696, 'Lip length ratio': 0.491058431118104, 'Eye-brow length ratio': 0.32425684015148615, 'Aggressive ratio left': 0.8884171491168574, 'Jaw line ratio': 0.6669865870887248, 'Jaw horizontal length ratio': 0.2831384422818428, 'Nose tip to lips distance': 39.02112183164396, 'Lower lips to chin distance': 75.02928844791205, 'Nose tip to chin': 159.450244634494}"
m-005-03.pts,"{'Eye length ratio': 0.2243964988151688, 'Eye distance ratio': 0.2682369356174013, 'Nose ratio': 0.12988048032978547, 'Lip size ratio': 4.972351841300769, 'Lip length ratio': 0.44096111240756647, 'Eye-brow length ratio': 0.3529624712524121, 'Aggressive ratio left': 0.8914472322358881, 'Jaw line ratio': 0.6394567701801486, 'Jaw horizontal length ratio': 0.29022186832973035, 'Nose tip to lips distance': 58.973370329327444, 'Lower lips to chin distance': 71.93678050204919, 'Nose tip to chin': 152.8865013073424}"
m-005-05.pts,"{'Eye length ratio': 0.19044648171037645, 'Eye distance ratio': 0.3298889975012044, 'Nose ratio': 0.11739792257061855, 'Lip size ratio': 4.347034528121439, 'Lip length ratio': 0.40073676421682697, 'Eye-brow length ratio': 0.359320083242023, 'Aggressive ratio left': 0.8603380423770507, 'Jaw line ratio': 0.6342659018505526, 'Jaw horizontal length ratio': 0.3117720930516618, 'Nose tip to lips distance': 53.8954664141614, 'Lower lips to chin distance': 80.202, 'Nose tip to chin': 157.73683935593485}"
m-006-01.pts,"{'Eye length ratio': 0.22368695386281906, 'Eye distance ratio': 0.26526849947009096, 'Nose ratio': 0.13360600773716824, 'Lip size ratio': 4.557558661956056, 'Lip length ratio': 0.4779931915002303, 'Eye-brow length ratio': 0.37326956464864425, 'Aggressive ratio left': 0.9241162342768091, 'Jaw line ratio': 0.6216071180214113, 'Jaw horizontal length ratio': 0.30194843618637546, 'Nose tip to lips distance': 45.866404982296146, 'Lower lips to chin distance': 64.52727610088624, 'Nose tip to chin': 132.8046399340023}"
m-006-02.pts,"{'Eye length ratio': 0.23346917375882267, 'Eye distance ratio': 0.2537676420886875, 'Nose ratio': 0.1548350595193754, 'Lip size ratio': 3.3848648825026486, 'Lip length ratio': 0.5421259013319417, 'Eye-brow length ratio': 0.38768144686335826, 'Aggressive ratio left': 0.9745298403326075, 'Jaw line ratio': 0.6958673845381356, 'Jaw horizontal length ratio': 0.3442382328018081, 'Nose tip to lips distance': 41.005064492084394, 'Lower lips to chin distance': 74.46177920248748, 'Nose tip to chin': 150.11008468787162}"
m-006-03.pts,"{'Eye length ratio': 0.2243230183499349, 'Eye distance ratio': 0.2590981584274286, 'Nose ratio': 0.1413937660005148, 'Lip size ratio': 3.181483956481721, 'Lip length ratio': 0.43684865755790636, 'Eye-brow length ratio': 0.3945139040418928, 'Aggressive ratio left': 0.9304349130397461, 'Jaw line ratio': 0.6270562623040271, 'Jaw horizontal length ratio': 0.2700200852320551, 'Nose tip to lips distance': 47.55489770780713, 'Lower lips to chin distance': 57.89054880548295, 'Nose tip to chin': 134.82502463563654}"
m-006-05.pts,"{'Eye length ratio': 0.17375509042403497, 'Eye distance ratio': 0.2923063064954718, 'Nose ratio': 0.14249078805279766, 'Lip size ratio': 3.4813018958391813, 'Lip length ratio': 0.43539561132384746, 'Eye-brow length ratio': 0.37188156959126056, 'Aggressive ratio left': 0.9145716650702717, 'Jaw line ratio': 0.6192142079579878, 'Jaw horizontal length ratio': 0.27587216273953463, 'Nose tip to lips distance': 39.45393815577857, 'Lower lips to chin distance': 58.33611370326276, 'Nose tip to chin': 124.11403684112445}"
m-007-01.pts,"{'Eye length ratio': 0.24600712245595863, 'Eye distance ratio': 0.2452793444988536, 'Nose ratio': 0.14081685762776222, 'Lip size ratio': 3.2488602927614214, 'Lip length ratio': 0.4582747583963469, 'Eye-brow length ratio': 0.3653990471167221, 'Aggressive ratio left': 0.923100603377421, 'Jaw line ratio': 0.6590036862874262, 'Jaw horizontal length ratio': 0.3353459665892595, 'Nose tip to lips distance': 53.3111025021993, 'Lower lips to chin distance': 77.6576498871811, 'Nose tip to chin': 163.57069190414276}"
m-007-02.pts,"{'Eye length ratio': 0.23641933414070684, 'Eye distance ratio': 0.260603088449478, 'Nose ratio': 0.1562045180397724, 'Lip size ratio': 3.050233320339739, 'Lip length ratio': 0.5121027062205774, 'Eye-brow length ratio': 0.34086417322511176, 'Aggressive ratio left': 0.9224997810700857, 'Jaw line ratio': 0.696529117321897, 'Jaw horizontal length ratio': 0.32674047018928304, 'Nose tip to lips distance': 48.40655034187007, 'Lower lips to chin distance': 77.64663048065897, 'Nose tip to chin': 165.91121093524694}"
