X,Y,File,Folder,Point_Index
328.444,275.496,m-001-01.pts,m-001,0
434.921,275.029,m-001-01.pts,m-001,1
331.713,401.121,m-001-01.pts,m-001,2
427.449,400.187,m-001-01.pts,m-001,3
271.936,270.826,m-001-01.pts,m-001,4
356.464,254.014,m-001-01.pts,m-001,5
388.221,255.882,m-001-01.pts,m-001,6
494.698,268.491,m-001-01.pts,m-001,7
263.997,274.095,m-001-01.pts,m-001,8
301.825,277.831,m-001-01.pts,m-001,9
349.459,277.364,m-001-01.pts,m-001,10
411.104,278.298,m-001-01.pts,m-001,11
459.673,277.831,m-001-01.pts,m-001,12
515.246,276.897,m-001-01.pts,m-001,13
368.606,340.41,m-001-01.pts,m-001,14
355.53,351.151,m-001-01.pts,m-001,15
391.957,350.217,m-001-01.pts,m-001,16
374.253,395.527,m-001-01.pts,m-001,17
374.253,416.925,m-001-01.pts,m-001,18
373.276,483.314,m-001-01.pts,m-001,19
280.342,404.39,m-001-01.pts,m-001,20
499.835,402.522,m-001-01.pts,m-001,21
344.026,270.09,m-001-02.pts,m-001,0
449.912,272.639,m-001-02.pts,m-001,1
332.867,381.687,m-001-02.pts,m-001,2
440.572,390.183,m-001-02.pts,m-001,3
284.216,262.555,m-001-02.pts,m-001,4
377.935,246.072,m-001-02.pts,m-001,5
411.844,246.543,m-001-02.pts,m-001,6
509.331,260.2,m-001-02.pts,m-001,7
275.738,270.09,m-001-02.pts,m-001,8
318.371,270.449,m-001-02.pts,m-001,9
367.816,272.639,m-001-02.pts,m-001,10
426.914,274.8,m-001-02.pts,m-001,11
479.19,275.271,m-001-02.pts,m-001,12
522.988,274.329,m-001-02.pts,m-001,13
386.883,332.256,m-001-02.pts,m-001,14
370.871,344.972,m-001-02.pts,m-001,15
404.779,345.443,m-001-02.pts,m-001,16
385.07,389.178,m-001-02.pts,m-001,17
386.006,421.015,m-001-02.pts,m-001,18
390.18,491.438,m-001-02.pts,m-001,19
281.39,393.009,m-001-02.pts,m-001,20
511.685,397.247,m-001-02.pts,m-001,21
